log_id,raw_log_text,board_id,test_type,pass_fail
LOG00056,"board B3601 - +5V supply 4.44V, second attempt.",B3601,POWER_RAIL_5V,FAIL
LOG00057,"C 5026 - VDD_3V3 rail 3.55V, failed, retest after rework.",C5026,POWER_RAIL_3V3,FAIL
LOG00058,D6920 12v power check measured 11.33V — bad reading.,D6920,POWER_RAIL_12V,PASS
LOG00059,"b-6292 - +3.3v rail 3.96v, after reflow.",B6292,POWER_RAIL_3V3,FAIL
LOG00060,unit d-8356: thermal reading after burn-in reading 72.3c.,D8356,THERMAL,FAIL
LOG00061,A6853 current draw at idle: 36.01 mA — no good.,A6853,CURRENT_DRAW,FAIL
LOG00062,unit D2818 VDD_5V rail measured 4.93V — good reading.,D2818,POWER_RAIL_5V,PASS
LOG00063,"Checked 5v power check on C7397, 5.00V (passes), retest after rework.",C7397,POWER_RAIL_5V,PASS
LOG00064,"Checked +5V supply on C 0841, 4.81V — within spec, second attempt.",C0841,POWER_RAIL_5V,FAIL
LOG00065,"unit b 6842: 3.3v rail reading 3.13v, looks good.",B6842,POWER_RAIL_3V3,PASS
LOG00066,board B4057 3v3 supply: 2.92 V (reject).,B4057,POWER_RAIL_3V3,FAIL
LOG00067,"B-8693 - scope reading CH2 2.41Vpp (fails), after reflow.",B8693,SIGNAL_INTEGRITY,FAIL
LOG00068,A-3076 signal amplitude CH1 measured 3.50Vpp.,A3076,SIGNAL_INTEGRITY,FAIL
LOG00069,"A 2801 - 3.3v power check 3.92V, customer return unit.",A2801,POWER_RAIL_3V3,FAIL
LOG00070,"Checked signal amplitude CH3 on board D0531, 2.51Vpp, flagged for rework.",D0531,SIGNAL_INTEGRITY,FAIL
LOG00071,"B 2437 - thermal reading after burn-in 47.6C — OK, customer return unit.",B2437,THERMAL,PASS
LOG00072,"Checked VDD_3V3 rail on board A3920, 3.28V (good reading), shift B.",A3920,POWER_RAIL_3V3,PASS
LOG00073,B9544 12v power check: 11.85 V (all good).,B9544,POWER_RAIL_12V,PASS
LOG00074,D 1935 +3.3V rail measured 3.46V — nominal.,D1935,POWER_RAIL_3V3,PASS
LOG00075,A6244 thermal reading after burn-in measured 43.2C (checks out).,A6244,THERMAL,PASS
LOG00076,Unit D6231: case temp reading 73.4C (no good).,D6231,THERMAL,FAIL
LOG00077,A-4446 eye height CH4: 2.64 Vpp.,A4446,SIGNAL_INTEGRITY,PASS
LOG00078,"unit a7904: +12v supply reading 11.23v, out of spec.",A7904,POWER_RAIL_12V,PASS
LOG00079,"Checked cont check RESET on C8851, 4.24Ohm, shift B.",C8851,CONTINUITY,FAIL
LOG00080,Unit unit C4913: standby current reading -4.28mA.,C4913,CURRENT_DRAW,FAIL
LOG00081,B-5161 thermal soak reading: 32.7 C.,B5161,THERMAL,PASS
LOG00082,"D2251 - standby current 111.32mA, shift B.",D2251,CURRENT_DRAW,PASS
LOG00083,D4972 board temp after 10min soak: 38.3 C.,D4972,THERMAL,PASS
LOG00084,B 4374 3.3V rail measured 3.26V.,B4374,POWER_RAIL_3V3,PASS
LOG00085,"Checked board temp after 10min soak on board A4794, 31.2C, within spec, shift B.",A4794,THERMAL,PASS
LOG00086,unit a7656: vdd_12v rail reading 12.51v (nominal).,A7656,POWER_RAIL_12V,FAIL
LOG00087,"Checked VDD_12V rail on unit B9483, 11.40V, good reading, shift B.",B9483,POWER_RAIL_12V,PASS
LOG00088,Unit board A8023: +12V supply reading 13.00V.,A8023,POWER_RAIL_12V,FAIL
LOG00089,"a3346 vdd_12v rail measured 11.51v, looks good.",A3346,POWER_RAIL_12V,FAIL
LOG00090,"Checked standby current on D-8098, 101.60mA (all good), second attempt.",D8098,CURRENT_DRAW,PASS
LOG00091,board C4856 5V rail: 4.86 V (looks good).,C4856,POWER_RAIL_5V,FAIL
LOG00092,"C 2497 thermal soak reading: 0.0 C, doesn't look right.",C2497,THERMAL,FAIL
LOG00093,B9983 cont check CLK measured 5.00Ohm.,B9983,CONTINUITY,FAIL
LOG00094,unit A6001 12V rail measured 11.93V.,A6001,POWER_RAIL_12V,PASS
LOG00095,D 5845 resistance check EN_LINE measured 4.28Ohm.,D5845,CONTINUITY,PASS
LOG00096,"checked vdd_3v3 rail on board c7051, 2.76v, line 2.",C7051,POWER_RAIL_3V3,FAIL
LOG00097,D 8588 idle current draw: 44.14 mA (reject).,D8588,CURRENT_DRAW,FAIL
LOG00098,B 9028 3.3v power check measured 3.23V.,B9028,POWER_RAIL_3V3,FAIL
LOG00099,C-6772 VDD_5V rail: 5.44 V.,C6772,POWER_RAIL_5V,FAIL
LOG00100,unit b2613 ch2 signal check: 3.96 vpp — out of spec.,B2613,SIGNAL_INTEGRITY,FAIL
LOG00101,C0242 resistance check J4 measured 0.87Ohm.,C0242,CONTINUITY,PASS
LOG00102,"A 7036 - CH2 signal check 3.48Vpp, line 2.",A7036,SIGNAL_INTEGRITY,PASS
LOG00103,"D-8324 CH1 signal check: 2.55 Vpp, no good.",D8324,SIGNAL_INTEGRITY,PASS
LOG00104,"b3621 - thermal reading after burn-in 17.6c, per eco-114.",B3621,THERMAL,FAIL
LOG00105,"Checked 3.3V rail on D-6233, 2.72V — failed, per ECO-114.",D6233,POWER_RAIL_3V3,FAIL
LOG00106,Unit A-5567: VDD_5V rail reading 4.86V.,A5567,POWER_RAIL_5V,FAIL
LOG00107,B6998 resistance check J7 measured 4.90Ohm.,B6998,CONTINUITY,PASS
LOG00108,"b-6822 +5v supply measured 5.38v, failed.",B6822,POWER_RAIL_5V,PASS
LOG00109,"checked resistance check j4 on unit d3385, 3.19ohm — ok, after reflow.",D3385,CONTINUITY,PASS
LOG00110,"Checked 12v power check on D4305, 11.90V, second attempt.",D4305,POWER_RAIL_12V,PASS
LOG00111,Unit C8288: 5V rail reading 5.39V — doesn't look right.,C8288,POWER_RAIL_5V,FAIL
LOG00112,"A 8497 - J7 continuity 6.14Ohm — fails, per ECO-114.",A8497,CONTINUITY,FAIL
LOG00113,"board D7441 - case temp 30.0C (good reading), unit was reworked yesterday.",D7441,THERMAL,FAIL
LOG00114,"Checked 3.3V rail on D-2450, 3.50V, doesn't look right, per ECO-114.",D2450,POWER_RAIL_3V3,PASS
LOG00115,"D-2708 - VDD_5V rail 5.09V (all good), retest after rework.",D2708,POWER_RAIL_5V,FAIL
LOG00116,"c-7321 - 5v rail 5.04v, passes, unit was reworked yesterday.",C7321,POWER_RAIL_5V,PASS
LOG00117,"B4947 resistance check J4 measured 1.45Ohm, passes.",B4947,CONTINUITY,FAIL
LOG00118,"board d9355 vdd_12v rail measured 11.57v, looks good.",D9355,POWER_RAIL_12V,FAIL
LOG00119,C6047 VDD_3V3 rail measured 3.35V.,C6047,POWER_RAIL_3V3,PASS
LOG00120,"d 3592 - eye height ch4 3.38vpp — passes, customer return unit.",D3592,SIGNAL_INTEGRITY,FAIL
LOG00121,D 2921 eye height CH3: 3.23 Vpp.,D2921,SIGNAL_INTEGRITY,PASS
LOG00122,board c5974 5v power check measured 4.43v.,C5974,POWER_RAIL_5V,FAIL
LOG00123,Unit C-1073: quiescent current reading 175.15mA — bad reading.,C1073,CURRENT_DRAW,FAIL
LOG00124,"B1876 - VDD_5V rail 4.88V, after reflow.",B1876,POWER_RAIL_5V,FAIL
LOG00125,"a 4355 - standby current 191.62ma, flagged for rework, retest after rework.",A4355,CURRENT_DRAW,FAIL
LOG00126,"C-5858 - eye height CH2 3.16Vpp, customer return unit.",C5858,SIGNAL_INTEGRITY,PASS
LOG00127,"checked signal amplitude ch4 on c 5179, 3.75vpp, failed, line 2.",C5179,SIGNAL_INTEGRITY,PASS
LOG00128,C-2407 case temp: 39.9 C.,C2407,THERMAL,PASS
LOG00129,A 8925 VDD_12V rail: 11.73 V.,A8925,POWER_RAIL_12V,PASS
LOG00130,D2718 eye height CH3 measured 2.55Vpp.,D2718,SIGNAL_INTEGRITY,PASS
LOG00131,"unit A3666 - quiescent current 118.56mA, customer return unit.",A3666,CURRENT_DRAW,FAIL
LOG00132,"Checked CH4 signal check on unit C5318, 3.01Vpp, unit was reworked yesterday.",C5318,SIGNAL_INTEGRITY,PASS
LOG00133,"Checked 12V rail on A 1883, 11.66V — within spec, line 2.",A1883,POWER_RAIL_12V,PASS
LOG00134,"B 7272 - CLK continuity 5.44Ohm, line 2.",B7272,CONTINUITY,FAIL
LOG00135,"unit C7845 - 3.3v power check 3.36V, shift B.",C7845,POWER_RAIL_3V3,PASS
LOG00136,"Checked resistance check EN_LINE on A1778, 3.17Ohm, after reflow.",A1778,CONTINUITY,PASS
LOG00137,Unit unit B2516: signal amplitude CH1 reading 3.60Vpp — looks good.,B2516,SIGNAL_INTEGRITY,PASS
LOG00138,unit D3416 thermal reading after burn-in measured 41.2C (checks out).,D3416,THERMAL,PASS
LOG00139,"unit c3171 - 12v rail 12.00v, customer return unit.",C3171,POWER_RAIL_12V,PASS
LOG00140,"Checked VDD_3V3 rail on unit D5502, 3.37V, nominal, after reflow.",D5502,POWER_RAIL_3V3,FAIL
LOG00141,board A5356 quiescent current measured 196.64mA.,A5356,CURRENT_DRAW,FAIL
LOG00142,"Checked thermal reading after burn-in on D8159, 21.7C — OK.",D8159,THERMAL,FAIL
LOG00143,Unit unit C6185: +5V supply reading 4.29V — reject.,C6185,POWER_RAIL_5V,FAIL
LOG00144,"Checked case temp on unit A3231, 9.7C (bad reading), second attempt.",A3231,THERMAL,FAIL
LOG00145,"A8912 3.3v power check: 3.41 V, all good.",A8912,POWER_RAIL_3V3,PASS
LOG00146,"A 8575 +5V supply measured 4.91V, good reading.",A8575,POWER_RAIL_5V,PASS
LOG00147,"board C9444 - continuity on J4 6.21Ohm, shift B.",C9444,CONTINUITY,PASS
LOG00148,"Checked quiescent current on A 4376, 99.10mA (OK), retest after rework.",A4376,CURRENT_DRAW,PASS
LOG00149,board C1229 - 12V rail 13.31V — failed.,C1229,POWER_RAIL_12V,FAIL
LOG00150,"D 6462 +3.3V rail: 3.42 V, good reading.",D6462,POWER_RAIL_3V3,FAIL
LOG00151,C 0422 5V rail: 4.84 V (good reading).,C0422,POWER_RAIL_5V,FAIL
LOG00152,"B-0589 - case temp 35.2C, unit was reworked yesterday.",B0589,THERMAL,PASS
LOG00153,Unit C9305: thermal reading after burn-in reading 40.0C.,C9305,THERMAL,PASS
LOG00154,D-6329 VDD_3V3 rail: 3.25 V — looks good.,D6329,POWER_RAIL_3V3,PASS
LOG00155,"unit D7285 12v power check: 13.26 V, flagged for rework.",D7285,POWER_RAIL_12V,FAIL
LOG00156,"Checked current draw at idle on A 5338, 40.72mA, shift B.",A5338,CURRENT_DRAW,PASS
LOG00157,A 3830 3v3 supply: 3.33 V.,A3830,POWER_RAIL_3V3,PASS
LOG00158,C-6303 VDD_12V rail: 12.54 V (checks out).,C6303,POWER_RAIL_12V,PASS
LOG00159,"Checked 5v power check on B5813, 4.51V, unit was reworked yesterday.",B5813,POWER_RAIL_5V,FAIL
LOG00160,A8120 current draw at idle measured 127.15mA (good reading).,A8120,CURRENT_DRAW,FAIL
LOG00161,"unit B8469 standby current measured 136.26mA, looks good.",B8469,CURRENT_DRAW,FAIL
LOG00162,"checked idle current draw on unit b6036, 109.00ma (checks out), line 2.",B6036,CURRENT_DRAW,PASS
LOG00163,"Checked +3.3V rail on A-6381, 3.46V — checks out, line 2.",A6381,POWER_RAIL_3V3,PASS
LOG00164,Unit unit C1774: 3.3v power check reading 3.67V.,C1774,POWER_RAIL_3V3,FAIL
LOG00165,"Checked resistance check EN_LINE on C-7482, 5.91Ohm (bad reading), unit was reworked yesterday.",C7482,CONTINUITY,FAIL
LOG00166,"Unit unit C2209: continuity on J12 reading 2.25Ohm, all good.",C2209,CONTINUITY,PASS
LOG00167,board A2223 scope reading CH1 measured 4.09Vpp — doesn't look right.,A2223,SIGNAL_INTEGRITY,FAIL
LOG00168,"board B6805 - 5V rail 4.68V, reject, per ECO-114.",B6805,POWER_RAIL_5V,FAIL
LOG00169,"unit D4230 - thermal reading after burn-in 20.0C, looks good, customer return unit.",D4230,THERMAL,FAIL
LOG00170,Unit D 8174: 5V rail reading 5.13V (nominal).,D8174,POWER_RAIL_5V,FAIL
LOG00171,A6863 - 12V rail 11.74V.,A6863,POWER_RAIL_12V,PASS
LOG00172,"A 5738 - current draw at idle 86.35mA, shift B.",A5738,CURRENT_DRAW,PASS
LOG00173,D-9227 12V rail measured 12.24V — passes.,D9227,POWER_RAIL_12V,PASS
LOG00174,"Checked +5V supply on C-1046, 4.96V — OK, per ECO-114.",C1046,POWER_RAIL_5V,PASS
LOG00175,"Checked thermal reading after burn-in on A3160, 46.9C, all good, unit was reworked yesterday.",A3160,THERMAL,PASS
LOG00176,unit unit b3539: resistance check reset reading 0.55ohm — passes.,B3539,CONTINUITY,PASS
LOG00177,"Unit A 6021: 3v3 supply reading 3.31V, within spec.",A6021,POWER_RAIL_3V3,PASS
LOG00178,"C 5338 - idle current draw 92.62mA (nominal), retest after rework.",C5338,CURRENT_DRAW,PASS
LOG00179,b2964 3.3v power check: 3.82 v.,B2964,POWER_RAIL_3V3,FAIL
LOG00180,board C6990 signal amplitude CH2 measured 3.98Vpp — reject.,C6990,SIGNAL_INTEGRITY,FAIL
LOG00181,Unit unit B2473: signal amplitude CH2 reading 3.23Vpp.,B2473,SIGNAL_INTEGRITY,PASS
LOG00182,"Checked case temp on D-1257, 72.0C — doesn't look right, unit was reworked yesterday.",D1257,THERMAL,FAIL
LOG00183,"Checked continuity on J4 on board A4209, 1.12Ohm — looks good, per ECO-114.",A4209,CONTINUITY,PASS
LOG00184,"a-3905 - vdd_5v rail 4.53v — flagged for rework, after reflow.",A3905,POWER_RAIL_5V,FAIL
LOG00185,board C1474 +3.3V rail measured 3.38V (OK).,C1474,POWER_RAIL_3V3,FAIL
LOG00186,"C-0213 continuity on EN_LINE: 1.65 Ohm, all good.",C0213,CONTINUITY,FAIL
LOG00187,"Checked quiescent current on D0321, 25.28mA, second attempt.",D0321,CURRENT_DRAW,FAIL
LOG00188,"Checked 3v3 supply on D 7218, 3.28V — within spec, unit was reworked yesterday.",D7218,POWER_RAIL_3V3,PASS
LOG00189,Unit unit A1231: 5v power check reading 4.98V (OK).,A1231,POWER_RAIL_5V,PASS
LOG00190,C 5296 current draw at idle: 55.68 mA.,C5296,CURRENT_DRAW,PASS
LOG00191,"checked idle current draw on board d1531, 116.14ma, per eco-114.",D1531,CURRENT_DRAW,FAIL
LOG00192,B 4589 J12 continuity measured 3.90Ohm (good reading).,B4589,CONTINUITY,PASS
LOG00193,"Checked 3v3 supply on A0768, 3.29V — within spec, shift B.",A0768,POWER_RAIL_3V3,PASS
LOG00194,"board a5162 cont check en_line measured 6.37ohm, fails.",A5162,CONTINUITY,PASS
LOG00195,"board B4208 - thermal soak reading 7.2C — flagged for rework, unit was reworked yesterday.",B4208,THERMAL,FAIL
LOG00196,A1304 5V rail: 5.05 V.,A1304,POWER_RAIL_5V,PASS
LOG00197,unit B9569 signal amplitude CH1: 4.05 Vpp.,B9569,SIGNAL_INTEGRITY,FAIL
LOG00198,Unit C-4753: 5v power check reading 5.10V.,C4753,POWER_RAIL_5V,PASS
LOG00199,"board C4483 - thermal reading after burn-in 44.8C (checks out), retest after rework.",C4483,THERMAL,PASS
LOG00200,B-3960 VDD_5V rail: 5.18 V.,B3960,POWER_RAIL_5V,FAIL
LOG00201,Unit A-1858: +3.3V rail reading 2.76V.,A1858,POWER_RAIL_3V3,FAIL
LOG00202,"Checked VDD_3V3 rail on B 6969, 3.30V, OK, unit was reworked yesterday.",B6969,POWER_RAIL_3V3,PASS
LOG00203,unit a2441 eye height ch4 measured 3.51vpp.,A2441,SIGNAL_INTEGRITY,PASS
LOG00204,Unit unit D1671: 3v3 supply reading 3.56V — flagged for rework.,D1671,POWER_RAIL_3V3,PASS
LOG00205,"checked quiescent current on board c8946, 93.46ma, second attempt.",C8946,CURRENT_DRAW,PASS
LOG00206,"unit b2607 - thermal reading after burn-in 34.4c, nominal, unit was reworked yesterday.",B2607,THERMAL,PASS
LOG00207,B3375 +3.3V rail: 3.22 V.,B3375,POWER_RAIL_3V3,FAIL
LOG00208,"Checked cont check J7 on board C1063, 3.24Ohm, per ECO-114.",C1063,CONTINUITY,PASS
LOG00209,"unit A3271 - continuity on RESET 6.23Ohm, fails.",A3271,CONTINUITY,FAIL
LOG00210,board A5379 3.3v power check measured 2.79V — failed.,A5379,POWER_RAIL_3V3,FAIL
LOG00211,C0174 board temp after 10min soak measured 3.4C (flagged for rework).,C0174,THERMAL,FAIL
LOG00212,"board C7752 board temp after 10min soak measured 55.0C, looks good.",C7752,THERMAL,FAIL
LOG00213,"board A1869 5v power check: 5.10 V, looks good.",A1869,POWER_RAIL_5V,PASS
LOG00214,unit b7826: idle current draw reading 103.39ma (ok).,B7826,CURRENT_DRAW,PASS
LOG00215,"Checked +12V supply on A 7410, 10.69V, after reflow.",A7410,POWER_RAIL_12V,FAIL
LOG00216,D-5385 +12V supply: 12.01 V (OK).,D5385,POWER_RAIL_12V,PASS
LOG00217,board A5680 12V rail measured 11.82V — OK.,A5680,POWER_RAIL_12V,PASS
LOG00218,Unit A5609: eye height CH1 reading 2.32Vpp.,A5609,SIGNAL_INTEGRITY,FAIL
LOG00219,Unit C9165: VDD_5V rail reading 4.95V — looks good.,C9165,POWER_RAIL_5V,PASS
LOG00220,"Checked 5V rail on board D6241, 5.03V — nominal, shift B.",D6241,POWER_RAIL_5V,PASS
LOG00221,C7712 J4 continuity measured 4.14Ohm.,C7712,CONTINUITY,FAIL
LOG00222,c9848 cont check j12 measured 1.73ohm.,C9848,CONTINUITY,PASS
LOG00223,"board C0957 - thermal reading after burn-in 73.9C (no good), retest after rework.",C0957,THERMAL,FAIL
LOG00224,"Checked 12v power check on B-7702, 12.42V (passes), shift B.",B7702,POWER_RAIL_12V,PASS
LOG00225,"Checked case temp on D-1226, 27.4C — OK, unit was reworked yesterday.",D1226,THERMAL,PASS
LOG00226,"Checked eye height CH2 on B-4638, 3.53Vpp, shift B.",B4638,SIGNAL_INTEGRITY,PASS
LOG00227,unit D6017 J7 continuity: 7.26 Ohm.,D6017,CONTINUITY,FAIL
LOG00228,D-0158 5V rail: 5.20 V — all good.,D0158,POWER_RAIL_5V,PASS
LOG00229,"D6120 - signal amplitude CH2 3.14Vpp, second attempt.",D6120,SIGNAL_INTEGRITY,PASS
LOG00230,Unit B 1145: resistance check CLK reading 6.11Ohm — failed.,B1145,CONTINUITY,FAIL
LOG00231,Unit board B5402: 5v power check reading 5.44V.,B5402,POWER_RAIL_5V,FAIL
LOG00232,Unit A 1628: J12 continuity reading 3.01Ohm.,A1628,CONTINUITY,PASS
LOG00233,C-3807 board temp after 10min soak: 45.1 C.,C3807,THERMAL,PASS
LOG00234,"Checked board temp after 10min soak on B 2490, 4.6C, failed, unit was reworked yesterday.",B2490,THERMAL,FAIL
LOG00235,C 3278 CH4 signal check: 3.55 Vpp (looks good).,C3278,SIGNAL_INTEGRITY,FAIL
LOG00236,"B 3691 - 3v3 supply 3.13V, second attempt.",B3691,POWER_RAIL_3V3,FAIL
LOG00237,d5290 5v power check: 5.08 v — nominal.,D5290,POWER_RAIL_5V,PASS
LOG00238,"A 0219 - VDD_12V rail 11.59V (within spec), customer return unit.",A0219,POWER_RAIL_12V,PASS
LOG00239,unit B2576 +12V supply: 12.04 V — good reading.,B2576,POWER_RAIL_12V,PASS
LOG00240,B8837 12v power check: 11.83 V (passes).,B8837,POWER_RAIL_12V,PASS
LOG00241,Unit B-3459: signal amplitude CH2 reading 3.32Vpp — all good.,B3459,SIGNAL_INTEGRITY,PASS
LOG00242,"unit C4307 EN_LINE continuity: 0.35 Ohm, passes.",C4307,CONTINUITY,PASS
LOG00243,board A8672 standby current measured 113.61mA — good reading.,A8672,CURRENT_DRAW,PASS
LOG00244,unit a6809 quiescent current measured 62.18ma.,A6809,CURRENT_DRAW,FAIL
LOG00245,"Checked continuity on J4 on D-0215, 1.27Ohm, second attempt.",D0215,CONTINUITY,FAIL
LOG00246,unit B1677 resistance check J12: 3.61 Ohm.,B1677,CONTINUITY,PASS
LOG00247,Unit A 7355: eye height CH4 reading 3.71Vpp (doesn't look right).,A7355,SIGNAL_INTEGRITY,FAIL
LOG00248,C9313 resistance check CLK: 6.27 Ohm.,C9313,CONTINUITY,FAIL
LOG00249,d-8911 3.3v rail: 3.28 v.,D8911,POWER_RAIL_3V3,PASS
LOG00250,"A4135 +12V supply measured 12.60V, nominal.",A4135,POWER_RAIL_12V,PASS
LOG00251,C9953 thermal soak reading: 36.1 C (nominal).,C9953,THERMAL,PASS
LOG00252,Unit A 7439: continuity on J7 reading 0.00Ohm.,A7439,CONTINUITY,FAIL
LOG00253,B-8487 VDD_5V rail measured 4.99V (checks out).,B8487,POWER_RAIL_5V,PASS
LOG00254,"Checked J12 continuity on unit C9800, 6.44Ohm, after reflow.",C9800,CONTINUITY,FAIL
LOG00255,board D1128 thermal reading after burn-in: 37.3 C.,D1128,THERMAL,PASS
LOG00256,Unit board D0615: cont check CLK reading 3.13Ohm.,D0615,CONTINUITY,PASS
LOG00257,Unit board B0526: 12V rail reading 11.72V.,B0526,POWER_RAIL_12V,FAIL
LOG00258,D5454 VDD_5V rail: 4.79 V.,D5454,POWER_RAIL_5V,PASS
LOG00259,unit D5145 cont check RESET: 6.62 Ohm — bad reading.,D5145,CONTINUITY,PASS
LOG00260,"Checked eye height CH2 on board B3905, 3.27Vpp — checks out, unit was reworked yesterday.",B3905,SIGNAL_INTEGRITY,PASS
LOG00261,"D-8628 - VDD_12V rail 11.83V, per ECO-114.",D8628,POWER_RAIL_12V,PASS
LOG00262,"checked current draw at idle on unit a7189, 112.30ma, second attempt.",A7189,CURRENT_DRAW,PASS
LOG00263,"Checked +5V supply on board C3202, 4.85V (all good), customer return unit.",C3202,POWER_RAIL_5V,PASS
LOG00264,Unit C 3897: eye height CH2 reading 3.90Vpp — doesn't look right.,C3897,SIGNAL_INTEGRITY,FAIL
